GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
ABCD1	0.0390286738151459	0.29958020875459	1.27144699266543e-13	6.26504659255975e-24	0.00741164638243733	4.05359285102956e-31
ABCD3	0.0233631739980718	5.71515667609115e-06	0.0203560428441298	5.35485794126607e-06	1	0.00027782363687301
ABCE1	0.00226141495799015	6.17543252150867e-08	1	0.000701701401536837	0.286891727844792	4.15595983134329e-18
ABCF1	1.111867595083e-15	1.04517438056043e-10	0.0121521230625092	0.0169789662700538	4.93252319881741e-07	2.33949741563201e-11
ABCF3	2.27771364543244e-07	3.79338369546507e-35	4.85837715153166e-11	3.11024228773155e-22	1	2.66916310029416e-37
ABCG1	0.108344928428621	1	1.53810672616596e-14	1	0.89870761978826	1.48252002734637e-22
ABCG4	0.522574752637211	0.136574413448174	1	0.0910176941590902	1	0.85554756744771
ABCG8	1	2.33291540627636e-10	0.11583866464745	0.005873332718673	0.213971800047353	2.47404194484275e-17
ABHD11	0.000144838363157143	2.92736115527554e-13	3.48586242811795e-20	2.80071893695261e-19	0.00273235134403585	4.36045430002779e-78
ABHD11.AS1	0.106165803996382	7.57757512568814e-15	1	6.75133840071537e-06	0.170206434511003	1.5417587432534e-11
ABHD12B	3.48655457090648e-07	0.00040564187748643	0.0578253176621803	0.00608019175061093	1	9.58573550437186e-11
ABHD13	0.249417190113742	0.00211654197823697	0.960693035375457	0.00642237437829561	1	4.10990283804924e-12
ABHD14B	7.86592993336683e-05	2.92902245749274e-14	2.31967095312936e-09	1.09979872676251e-06	1	3.15454592047643e-08
ABHD16A	1	1	2.01368265864884e-12	5.45068436299322e-13	1	1.0237140425462e-24
ABHD16B	0.00115449759464439	0.000244919670019762	1	1	1	1.83580774732957e-17
ABHD2	0.269317663507562	1	4.29361917312079e-10	0.0501741781227728	1	5.87923425497563e-25
ABHD5	1	1	1	1	1	2.36373192705135e-08
ABHD6	0.354041259045984	5.46355316981756e-05	0.000257568990888234	1.92818475790744e-11	1	8.37940210439777e-16
ABI1	1	1	1	1	1	0.194942106728655
ABI3BP	1	2.57036674075901e-18	1	0.0200468683641239	0.423548507674804	2.09460714629451e-15
ABL1	1	6.55164172954973e-09	2.16961051931697e-05	1.96689126685982e-08	1	1.08133670709726e-54
ABL2	0.00749364978295784	0.0888512039350281	8.76372229101288e-05	3.45658316888296e-07	0.736115957077169	2.31973226980623e-65
ABLIM2	0.0243814703257715	1	1	1	1	1.06053483390962e-43
ABO	0.98360084454125	2.16026769748978e-24	1	0.260639940398112	1	3.14699386176218e-27
ABP1	0.448250639075729	0.0158081171462016	0.0615626841664694	0.0117579798745368	1	6.70958533593167e-23
ABR	1	0.000290826309601416	6.22719328625621e-23	1.89041088683927e-11	1	8.07374736291737e-57
ABTB1	0.990981335590921	1	2.25646100663034e-05	0.123783536139824	1	2.31669541759585e-40
ABTB2	0.0530946521470696	2.58940266169977e-05	0.557488787844164	1	1	3.17033575434125e-36
ACAA1	1	0.00270210234441161	6.31265966249022e-05	2.98853158498159e-20	1	3.6498119870089e-91
ACACA	0.00243824470910151	1.75664758666539e-17	0.0553361241000596	2.76906417763368e-11	1	4.35254440054087e-27
ACACB	1	0.0586979797328074	0.25520564185929	1	1.46958790909403e-05	0.354995600907921
ACAD11	2.83151437384866e-06	3.95607417102657e-07	0.000126041349647715	2.0959835790289e-10	0.000422501599353279	0.000857664136141296
ACAD8	1	2.73212321737351e-08	0.0109070788995609	3.12787760391808e-06	2.18527817886898e-18	1.73474603630847e-06
ACAD9	0.808474805714312	0.0539889610674992	1	0.131103006687624	1	1
ACADM	3.02170713320425e-20	0.016358382886742	0.0537440052770254	2.69588760399003e-11	1	1.26125018714395e-09
ACADS	0.0787830869782039	0.000281284559113326	6.50259594208709e-05	1.09535914286051e-11	1	1.78363175703818e-05
ACADSB	0.246590114247252	9.12999189249634e-26	5.76409665605126e-10	3.4293271259822e-09	1	7.10548491394874e-25
ACAP1	1	1	9.44597864054978e-10	1.43544833491791e-08	1	7.72762949079362e-27
ACAP2	1	1	2.73265928056621e-05	2.74025506155639e-05	1	2.65581819864524e-59
ACAT1	0.458430138900879	4.99022549953027e-09	0.144954331615994	4.80045891831514e-18	1	1.23612099715805e-13
ACBD3	0.0598013888524597	0.0915275895151132	0.69824125076409	0.0497128876674696	6.42998189130606e-08	0.162109923961661
ACBD4	1.23555695793808e-08	0.00064232990201816	1	1	1	0.0470797629283458
ACBD5	0.000205060487851803	1.5874101492344e-08	0.00313831182014971	7.43921175334881e-09	0.609816689286673	1.31080057804072e-55
ACBD7	1.81927302741475e-05	1.68401626684472e-10	1	0.0313837502481173	1	1.99246894196125e-07
ACCN1	3.7888682626606e-05	0.00644852112012937	1	1	1	2.5696594657305e-17
ACCN3	1	1.91741740143884e-06	1	0.126163469287321	2.09796801203409e-07	1
ACCN4	1.06097265136594e-06	0.00136991337144632	1	1	1	0.0285245671265946
ACCN5	0.990827856610957	5.37249590786938e-16	1	0.00370481887269612	0.0663287512578405	4.91021542117342e-35
ACCSL	0.330559830893525	0.0515254402382011	1	0.436307559620166	1	0.000249587942192094
ACIN1	0.597546756273899	0.00150767914258205	0.00187976997553871	0.620218811141031	1	1.17626503005608e-29
ACMSD	1	0.761406928872352	1	1	1	1
ACN9	1	1	0.000646293534713248	2.75570240191979e-08	1	1.5359975350128e-50
ACOT12	3.51151081240791e-05	0.0969866688416976	1	1	1	0.0915576321427551
ACOT13	0.368179552088509	7.12615194168355e-09	1	0.000437954737899771	2.01513120983456e-28	0.000776200468769521
ACOT4	0.00259506933584869	3.88749261163335e-05	0.515152888128438	0.0114687381991059	2.24005275746215e-79	0.945091095016656
ACOT6	0.274630718667264	0.0476303193114895	1	0.00766840772637775	1	0.266426899026696
ACOT7	7.24969074307894e-06	4.57892759285309e-22	1	8.71625546610459e-09	1	7.16370022578949e-13
ACOT9	1	4.81248928855964e-06	3.97817119382287e-09	2.30890057318712e-06	0.39319476410431	5.9158558630201e-65
ACOX2	1	0.0037387477784148	8.21568207080272e-07	8.30036295006229e-27	0.0658594170078343	1.68083036652499e-17
ACOX3	1	7.73028297308979e-12	0.0188475382374687	6.87530807656778e-11	0.179186236148251	0.000302792261661408
ACOXL	4.13307272902004e-08	0.000721879304132661	9.92870413746476e-05	0.085549365375692	1.81809277245274e-15	2.62923661140045e-13
ACP1	0.000158886493488784	4.45112230936067e-30	0.00015376448680107	8.11835853680307e-08	1	1
ACP2	0.0311738976096472	1.1295547388041e-05	0.000425488981770768	1.97583202830078e-18	1	7.67107228630226e-21
ACP6	0.070271097203407	0.340009565139663	4.88247323172556e-07	8.78734321640657e-05	1	2.5314735524964e-19
ACPL2	1	2.38403235401099e-12	1	0.0563734374529692	1	1.90224817865884e-23
ACPP	0.823587643634994	0.0330775296839994	0.0385733705336256	2.59490752864503e-13	1	1.306151087652e-16
ACR	0.00326040581572929	1.34896860387002e-05	1	0.272139948084809	1	2.06384619323187e-09
ACRBP	1.87990705497703e-06	1.56962426034068e-06	1	0.0355327669383947	1	2.98720099290802e-13
ACRV1	1	5.88798274894625e-09	1	0.43270126973926	0.674245711640918	1
ACSBG2	1	5.53978934910998e-15	1	0.436662170080213	7.12742935024204e-05	4.90375741398033e-16
ACSF3	1.41165337974346e-05	2.83144241044031e-19	3.40439184954519e-12	1.00611422678474e-08	1	9.41233542418934e-74
ACSL1	1	1	1.36846568754351e-09	0.253820772322981	1	1.73566675456194e-41
ACSL3	1	0.063281316929229	9.60062561536537e-09	3.43307093003081e-10	1	2.05795966335028e-41
ACSM4	1	8.13257728110654e-08	0.74959790963505	0.000375659819250752	1	1
ACSM5	0.000928184182144604	1.74218292351389e-08	1	0.945816766105643	1	7.55109143725872e-05
ACSS1	0.00120970862740065	1.22513965850295e-34	1.33014127395157e-18	3.05405781131138e-13	1	1.35050349888574e-13
ACSS3	0.0233739601364708	0.00143542796933743	0.105132981927828	0.0182776913734089	1	1.13450845022486e-14
ACTA2	0.141644578469809	0.06239983705609	7.34745001784082e-05	1.3659798107038e-13	1	1.53597424301072e-25
ACTB	0.136452824660997	0.00281605192420279	2.88642808708034e-05	1.81978750052907e-37	1	7.54312919577889e-27
ACTG2	0.268953954894721	3.98513089735261e-16	0.000718507075290922	1.19047991788159e-05	0.906997190050708	1.35042812127624e-18
ACTL6B	1	6.43782533380522e-06	1	1	1	0.915550711492609
ACTL7A	4.89452331442466e-05	9.02342061888261e-05	1	1	1	2.15542894703584e-07
ACTL8	0.00116198834691616	1.05979286825217e-10	1	0.550414893625	0.633543228787761	1.33871612187973e-22
ACTL9	1	1.01516207252805e-17	1	0.00690199734692232	7.63562837771754e-09	1.45105163082845e-07
