Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM5532581_cy5	0	0.0529475331339612	0	0.0663062164409616	0	0	0.0480769647768809	0.0155371784779179	0.0507991862553087	0.00203275667727711	0	0.0813995306593939	0	0.682900633578299	9999	0.69615906418434	0.738744850630213
GSM5532582_cy5	0	0.0953785612222483	0	0.12304767553505	0.0269658269104151	0	0.0258301962586962	0.0178755947468803	0.0329236064591821	0	0.0446619055671125	0	0	0.633316633300415	9999	0.509401314894535	0.908358872050935
GSM5532583_cy5	0	0.0899806699010284	0	0.131651374770529	0	0	0.0846910320713186	0.0409912951721715	0.0134673467021015	0.010467808556671	0	0	0	0.62875047282618	9999	0.706353705083034	0.712701999785308
GSM5532584_cy5	0	0.0743988946629833	0	0.121474237848275	0.0238051162598012	0.0462299781310195	0.21121287424533	0	0	0.141331825617985	0	0.0147437249210681	0	0.366803348313537	9999	0.735425071316069	0.689598187447042
GSM5532585_cy5	0	0.0701498845894794	0	0.279472364190007	0.0153073992358325	0	0.147679667302615	0	0	0.0705238848702403	0	0.0414267232928841	0	0.375440076518942	9999	0.500949541328828	0.872457595086548
GSM5532586_cy5	0	0.0729453052764542	0	0.109411028673411	0	0	0.146713021890861	0.00199010204184278	0	0.0479867569687569	0	0.0872069995794772	0	0.533746785569197	9999	0.526710789010704	0.871082709780365
GSM5532587_cy5	0	0.0612979683885165	0	0.0752341803146954	0.0161467146572917	0	0.211851271378732	0.00113880560104835	0.00929309120049758	0.0599152598792412	0	0.011909970921651	0	0.553212737658326	9999	0.505756152826912	0.887675215141327
GSM5532588_cy5	0	0.065818998344332	0	0.0928373803195963	0.0172401060374677	0	0.190399071582249	0.0215736991010708	0.0188677701537992	0.0194213144014132	0	0.00916260331171665	0	0.564679056748356	9999	0.52923750267019	0.870862304278708
GSM5532589_cy5	0	0.0817065077947019	0	0.0730452069492714	0.0265152179798199	0	0.119617731571164	0.0192121498778448	0	0.0212483618923177	0	0.0847388499198244	0	0.573915974015056	9999	0.4944139338229	0.907543316144615
GSM5532590_cy5	0	0.0386702537158304	0	0.160710786430764	0	0.00147225171131173	0.152707699404218	0.0137790450625437	0.0149647920925677	0.0479663512998543	0	0.0957455797360514	0	0.473983240546859	9999	0.470048675443586	0.905946014642402
GSM5532591_cy5	0	0.0674030554415503	0	0.076994388224408	0	0.0299330108391763	0.092489053227457	0	0.018375845384066	0.0447179426949602	0	0.127426709674166	0	0.542659994514216	9999	0.545947274294215	0.86012585665195
GSM5532592_cy5	0	0.0910312879286205	0	0.24377346075399	0	0	0.0967707699608732	0	0.0627731323497079	0.0305123528163149	0	0.094571940771357	0	0.380567055419137	9999	0.433283047352197	0.920097516562435
GSM5532593_cy5	0	0.0854933114499456	0	0.129970778607303	0	0.012201041784546	0.0941256854894003	0	0.0401654175916273	0	0	0.0759405692306492	0	0.562103195846529	9999	0.656467713490681	0.759658084189273
GSM5532594_cy5	0	0.0957213955466568	0	0.407854680183153	0	0	0.154231139850846	0	0.0457763801582968	0	0	0.0424976913468828	0	0.253918712914164	9999	0.539964068377154	0.843305670866973
GSM5532595_cy5	0	0.188027931615741	0	0.117355559646909	0	0	0.0409783119607195	0.00746339674058971	0.10582348004988	0	0.0412596813162736	0.0605772227538209	0	0.438514415916066	9999	0.422465094464473	0.936624789521398
GSM5532596_cy5	0	0.133539152468055	0	0.189145572867723	0	0	0.0698553956302096	0.0264106771972975	0.0581079642856335	0.00984150406762171	0.00176923921572095	0.0375411885895845	0	0.473789305678154	9999	0.411215089423515	0.948533672288819
GSM5532597_cy5	0	0.0894656940316552	0	0.168221640064158	0	0.0202203722842138	0.0978639501291231	0	0.0488109753710391	0.00509656006404793	0	0.0181599693847618	0	0.552160838671001	9999	0.555553863663778	0.848895282689381
GSM5532598_cy5	0	0.08887979464148	0	0.0901076528131594	0	0	0.0979750387740892	0.0043764124693278	0.0145713533053372	0.0769206343591887	0	0.0933776055711345	0	0.533791508066283	9999	0.643037919456906	0.769416469759802
GSM5532599_cy5	0	0.0854337383053949	0	0.0826057992522604	0	0.062476877161723	0.128397106794741	0	0.0110315665647499	0.0800320700769002	0	0.105445484645759	0	0.444577357198472	9999	0.470951247220795	0.899433863757072
GSM5532600_cy5	0	0.0275339357874745	0.00184105824108302	0.0389275819458862	0	0.0482255913540056	0.105692138606045	0.0022723688823945	0.00374475593491545	0.0661807180496581	0	0.0869564702205857	0	0.618625380977952	9999	0.639846529589019	0.785034948599863
GSM5532601_cy5	0	0.0879832188498024	0	0.169937451273365	0	0.0233237156268576	0.0684756321203765	0	0.0495950506358456	0	0	0.0429157842750922	0	0.557769147218661	9999	0.398900968881176	0.978695138967926
GSM5532602_cy5	0	0.0822083629369871	0	0.276314737975858	0	0	0.0823982308328085	0.0126320097150097	0.0666724381996528	0	0	0.0640644594403791	0	0.415709760899305	9999	0.437374278607503	0.924026484958952
GSM5532603_cy5	0	0.0569423247238794	0	0.0474336502398851	0	0.0725327951014845	0.114955873058374	0	0	0.0608288487678518	0	0.141954503089762	0	0.505352005018764	9999	0.610488221362006	0.797813117771785
GSM5532604_cy5	0	0.0914043199755775	0	0.0418639373243983	0.01668130020934	0	0.141464032048582	0	0	0.0848699495939308	0	0.0815880424906073	0	0.542128418357564	9999	0.599965952654294	0.809066583909069
GSM5532605_cy5	0	0.105245379853481	0	0.0735594355019438	0	0.0543075587045246	0.129596226686259	0	0.0183575207972224	0.0159749415331969	0	0.0771852429107705	0	0.525773694012602	9999	0.405306845874409	0.963713376710285
GSM5532606_cy5	0	0.13365033206974	0	0.117021030181663	0	0.00975542194121259	0.0913386342541085	0	0.0141037430860957	0.0159919759606072	0	0.0942484866607773	0	0.523890375845796	9999	0.389857127844921	0.977122989063166
GSM5532607_cy5	0	0.0845826558650578	0	0.118789880336359	0	0.0251826662767712	0.115544737140358	0	0	0.130740212595282	0	0.0056130083430062	0	0.519546839443166	9999	0.605530007984071	0.799905468725903
GSM5532608_cy5	0	0.118270729339002	0	0.078219599709041	0.00183261709910147	0	0.0991151645227156	0.00875618908244774	0	0.0528997137168013	0	0.125411828930107	0	0.515494157600784	9999	0.483644323765014	0.904933350217442
GSM5532609_cy5	0	0.115308365003739	0	0.164301032190734	0	0.112436254416939	0.109242387144326	0	0	0.0273248634507302	0	0.0873851952826295	0	0.384001902510902	9999	0.307514337561294	1.00091020866077
GSM5532610_cy5	0	0.0654885835716145	0	0.0687849650499189	0	0.0402195471992006	0.106401447329126	0.00127457444640228	0.0039194855242868	0.0542520282036386	0	0.0277858085358998	0	0.631873560139913	9999	0.580555636039868	0.841363969955911
GSM5532611_cy5	0	0.162368455473814	0	0.130198949043408	0	0	0.093866893855534	0.0138339222121718	0.0059423339557281	0.0555683409988413	0	0.00336828914123109	0	0.534852815319271	9999	0.453795622280988	0.924945007253257
GSM5532612_cy5	0	0.108625213324919	0	0.121721261777857	0.00670691633769487	0.00503062362401927	0.103118167281507	0	0.000662061405747116	0.0247068256886377	0	0.0117547526117617	0.0120791539281948	0.605595024019662	9999	0.39480673730464	0.990536533293958
GSM5532613_cy5	0	0.0838962938481611	0	0.170853622792356	0.00914680307733554	0	0.124425539218542	0.0202794878685356	0.0106511961044249	0.00707476103045876	0	0	0	0.573672296060186	9999	0.41378756603882	0.966107217918739
GSM5532614_cy5	0	0.0586720589475999	0	0.224186592306808	0	0.076315043407731	0.0621222959238683	0	0	0.177224512907683	0	0	0	0.40147949650631	9999	0.563233159680214	0.829095116206956
GSM5532615_cy5	0	0.032167059344633	0	0.0663941014575943	0	0.0640615751697968	0.137666687616909	0	0	0.0711614269250447	0	0.125850234589217	0	0.502698914896805	9999	0.593822702506649	0.811703225773671
GSM5532616_cy5	0	0.145248103307282	0	0.174800884929851	0	0	0.15672445451604	0.00282276590525422	0	0.0431305971307945	0	0.108674247383772	0	0.368598946827006	9999	0.322808510259827	0.984908895473763
GSM5532617_cy5	0	0.153435361500067	0	0.124202861989823	0	0	0.0609068465581508	0.0128473618840385	0	0.0244210905260236	0	0.110282860819742	0	0.513903616722156	9999	0.40899107541735	0.962576562405761
GSM5532618_cy5	0	0.176120046441121	0	0.104274265109458	0	0	0.035514278843373	0.00894284124597129	0	0.0266261337843448	0	0.151684589000063	0	0.496837845575669	9999	0.474694647828484	0.912933040047687
GSM5532619_cy5	0	0.0645977178230994	0	0.121977584870234	0	0.0556150081489461	0.0887278214259653	0	0	0.0170964691351613	0	0.0951394783972989	0.00310580455533899	0.553740115643956	9999	0.472854038983623	0.922334444507541
GSM5532620_cy5	0	0.093538803848172	0	0.145331715088143	0	0	0.150460936459953	0	0.0056671581352645	0.0641256172248106	0	0	0.00363137672332945	0.537244392520328	9999	0.429085940790137	0.942987332408138
GSM5532621_cy5	0	0.107435478862746	0	0.105352354836358	0.0508062080402802	0	0.105233247546698	0	0.0150329994672668	0	0	0	0.0161068061869941	0.600032905059657	9999	0.404504582361259	0.981432605433471
GSM5532622_cy5	0	0.0913589209481006	0	0.0667457598575379	0	0.0462417767319811	0.0489095947958487	0	0	0.0508034626640357	0	0.0752378622609307	0	0.620702622741565	9999	0.408597164387833	0.993532513079114
GSM5532623_cy5	0	0	0.000498855496510736	0.364371182452892	0	0.0871686396832166	0.295258806594813	0	0	0.166120828444388	0	0	0	0.0865816873281803	9999	0.769632903019473	0.644083406256601
GSM5532624_cy5	0	0.0350089985827278	0	0.183214849879839	0	0.0502338598252793	0.260540185155656	0	0	0.130006379679261	0	0.039070184847725	0	0.301925542029512	9999	0.605474054460207	0.794659052101282
GSM5532625_cy5	0.0124121845861794	0	0.0172857868161739	0.111929177488766	0	0.0609069751529537	0.129476743515538	0.0164342719108593	0	0.100593865354312	0	0	0.00194699428374178	0.549014000891476	9999	0.548750540876281	0.852103788209217
GSM5532626_cy5	0	0.03928751794843	0	0.164849639375012	0	0.0359441756465977	0.197204453127543	0	0	0.0516544282053679	0	0.0514461990763634	0	0.459613586620686	9999	0.559043384015006	0.834413756442606
GSM5532627_cy5	0	0.0194702519228595	0	0.10895450450199	0	0.06587600942725	0.146174718251787	0.0145442996507122	0.0244862249842703	0.0615108438229214	0	0.10490146938802	0	0.45408167805019	9999	0.484740957334983	0.892648877078123
GSM5532628_cy5	0	0	0	0.181854297791026	0	0	0.142902477853695	0	0	0.0906125968992636	0	0.0853055043066816	0.0315218920454406	0.467803231103892	9999	0.473593437380356	0.903046086340316
GSM5532629_cy5	0	0.1062081159002	0	0.219660771730228	0.00798539323027333	0	0.150443683877233	0	0.11135946282336	0.0244336012352853	0.0476437155258077	0.0512758216683664	0	0.280989434009246	9999	0.70694022966358	0.716161292214144
GSM5532630_cy5	0	0.0495922845601828	0	0.0283507772942819	0.00486895526354762	0.00705982357763669	0.111418920512868	0	0	0.0910755313641674	0	0.0688611272254447	0	0.638772580201871	9999	0.751428623447208	0.662890201478071
GSM5532631_cy5	0.0337016146754335	0	0	0.0354662862564038	0	0.0145346595677772	0.0466102602153958	0.0123334831288822	0.00990649773989112	0.0352145927131753	0	0.0449825679931019	0	0.767250037709939	9999	0.651038918903565	0.812908000685153
GSM5532632_cy5	0	0.0231596148944042	0	0.0291273133481411	0.0506033646153886	0	0.0682615695909575	0	0.0133121392006152	0.0213857682289193	0	0.0703036309551713	0	0.723846599166403	9999	0.666592126624642	0.782990129521429
GSM5532633_cy5	0	0.0229559334545709	0	0.0124472107421401	0.0473401671296294	0	0.0408029692870374	0.00915209388062812	0.0344828366413124	0	0.0194218305004621	0.119062743832379	0	0.694334214531841	9999	0.620841273746834	0.831530304256699
GSM5532634_cy5	0	0.0599494354928829	0	0.0636637622644038	0	0.0185056168104499	0.0660962976581699	0	0.0542577458458163	0.0297930082932822	0	0.138268648534806	0	0.569465485100189	9999	0.514203128561375	0.896015508155835
GSM5532635_cy5	0	0.0948126139803215	0	0.0104378578136699	0.0703908948869386	0.119442933393817	0	0	0.0206617252691332	0.0262253330818046	0.0424501972025789	0.130678061444893	0	0.484900382926843	9999	0.338506288931118	1.01169065203747
GSM5532636_cy5	0	0.0947846797171434	0	0.09926391305439	0	0.0053462293204393	0.0720068747204345	0	0.0399920226998216	0.0319016285369627	0	0.186672137750465	0	0.470032514200344	9999	0.496019373753321	0.890881154880274
GSM5532637_cy5	0	0.124793183853434	0	0.0810280964569034	0.00826578369187748	0.00608349547862147	0.13439964876187	0	0.0108821021515701	0	0.00695658467963721	0.0573802131798358	0	0.57021089174625	9999	0.77089934865138	0.637122530925686
GSM5532638_cy5	0	0.0496919048960943	0	0.0950027018370147	0	0	0.087007124034144	0	0.00906488840342305	0.0118775067858204	0	0.0529834362928313	0	0.694372437750672	9999	0.714492053650494	0.716273869386464
GSM5532639_cy5	0	0.0784552412918527	0	0.0747836359921084	0.0142728562544955	0	0.122183530116686	0	0.0245307216704333	0.00137158680964618	0.00167938842031501	0.133570631939027	0	0.549152407505436	9999	0.686545617287145	0.729453565524032
GSM5532640_cy5	0	0.0790844470059734	0	0.166760225843599	0	0	0.0629759635947624	0.0127473039730413	0.0428431453968504	0	0.0162692093786606	0.0809158319307863	0	0.538403872876326	9999	0.683291921976203	0.73167161482737
GSM5532641_cy5	0	0.10236871135044	0	0.289924466494433	0	0.0135622616927768	0.110874485161767	0	0.0229218963324976	0	0.0339953527830455	0.0708954468615039	0	0.355457379323536	9999	0.415335378395009	0.930872023837545
