"Mixture"	"B cells"	"T cells"	"NK cells"	"Monocytes"	"Eosinophils"	"Neutrophils"
"GSM5532537_cy5"	"0.0646326539722168"	"0.364593050310563"	"0.0195517730296901"	"0.0377996365850311"	"0"	"0.513422886102499"
"GSM5532538_cy5"	"0.109788649918611"	"0.349647626876973"	"0.0195818747743884"	"0.204908902536205"	"0"	"0.316072945893821"
"GSM5532539_cy5"	"0.0874496210139133"	"0.456241106634074"	"0.0169413292632547"	"0.126947351058601"	"0"	"0.312420592030157"
"GSM5532540_cy5"	"0.105694997364745"	"0.627750598664573"	"0.0332520999760161"	"0.0628476887948412"	"0.0171865668175951"	"0.153268048382229"
"GSM5532541_cy5"	"0.0732636056523572"	"0.262642912282179"	"0.0549922187295675"	"0.0731079444131763"	"0"	"0.53599331892272"
"GSM5532542_cy5"	"0.0419007473682854"	"0.331585881948472"	"0.0470013361339656"	"0.234497088168411"	"0"	"0.345014946380866"
"GSM5532543_cy5"	"0.102191726832543"	"0.187607328381805"	"0.0297290551271147"	"0.0565101809324329"	"0"	"0.623961708726104"
"GSM5532544_cy5"	"0.132257834399979"	"0.296659647989432"	"0.022026991397404"	"0.126591152743656"	"0"	"0.422464373469529"
"GSM5532545_cy5"	"0.105149900673817"	"0.11822124648508"	"0.0228209599452332"	"0.0249427488455933"	"0"	"0.728865144050277"
"GSM5532546_cy5"	"0.196967489190382"	"0.251454123876539"	"0.0385811296228078"	"0.0868222495737454"	"0"	"0.426175007736525"
"GSM5532547_cy5"	"0.0865313421820227"	"0.198662419749869"	"0.0200829208578399"	"0.135039708724835"	"0"	"0.559683608485433"
"GSM5532548_cy5"	"0.14341248945782"	"0.176683121205818"	"0.0274666683734817"	"0.100565375590375"	"0"	"0.551872345372505"
"GSM5532549_cy5"	"0.0303994578938333"	"0.154654194798394"	"0.0863484931445609"	"0.086736874271893"	"0"	"0.641860979891319"
"GSM5532550_cy5"	"0.0257678224800261"	"0.242698586288282"	"0.106230939708869"	"0.0472676936158217"	"0"	"0.578034957907001"
"GSM5532551_cy5"	"0.0311272123382379"	"0.216588770088719"	"0.140981767976216"	"0.0650082575172799"	"0"	"0.546293992079547"
"GSM5532552_cy5"	"0.0810102715416712"	"0.210286087802603"	"0"	"0.0877729070057197"	"0"	"0.620930733650006"
"GSM5532553_cy5"	"0.034307528027517"	"0.184501305267606"	"0.0521102845701234"	"0.190345348817173"	"0"	"0.53873553331758"
"GSM5532554_cy5"	"0.0359209449339001"	"0.199300930377938"	"0.049108075567287"	"0.256538864536039"	"0"	"0.459131184584836"
"GSM5532555_cy5"	"0.109371134157886"	"0.274419603442243"	"0.0652385925759842"	"0.0562050305881445"	"0"	"0.494765639235742"
"GSM5532556_cy5"	"0.0585409131612054"	"0.187592767633815"	"0.038348797392098"	"0.0781471916934982"	"0"	"0.637370330119383"
"GSM5532557_cy5"	"0.0918480963339994"	"0.473953239841164"	"0"	"0.0753618062420163"	"0"	"0.358836857582821"
"GSM5532558_cy5"	"0.140922764971258"	"0.102914778005714"	"0.0204381597687027"	"0.0504723091624163"	"0"	"0.685251988091909"
"GSM5532559_cy5"	"0.0950682337430455"	"0.144797656809155"	"0.0156563591530655"	"0.263228751624856"	"0"	"0.481248998669878"
"GSM5532560_cy5"	"0.0793793697368145"	"0.149814275449749"	"0.013075037488171"	"0.155718181868434"	"0"	"0.602013135456832"
"GSM5532561_cy5"	"0.112573392452557"	"0.363199377410655"	"0.0111466230433128"	"0.0711816316022178"	"0"	"0.441898975491257"
"GSM5532562_cy5"	"0.0945349095977105"	"0.292202577049062"	"0.00302948278283277"	"0.0899115894457946"	"0"	"0.5203214411246"
"GSM5532563_cy5"	"0.050460807597737"	"0.262008038172873"	"0.0921332133107126"	"0"	"0"	"0.595397940918678"
"GSM5532564_cy5"	"0.0154478831798515"	"0.147801382808946"	"0.0722205717191687"	"0.112944265906096"	"0"	"0.651585896385937"
"GSM5532565_cy5"	"0.037995071289707"	"0.550056536651482"	"0.134325156112133"	"0.277623235946679"	"0"	"0"
"GSM5532566_cy5"	"0.376208145169123"	"0.393488891256133"	"0.00339002923152299"	"0.154064782948033"	"0.0728481513951875"	"0"
"GSM5532567_cy5"	"0.0546799450192452"	"0.18452469284428"	"0.0038794469659873"	"0.103149357207537"	"0"	"0.65376655796295"
"GSM5532568_cy5"	"0.0558704319886616"	"0.177416911904496"	"0.0107492163840838"	"0.0439710360113373"	"0"	"0.711992403711421"
"GSM5532569_cy5"	"0"	"0.159507152096002"	"0.0455575598900409"	"0.110014918280929"	"0"	"0.684920369733028"
"GSM5532570_cy5"	"0.0565515868727045"	"0.201632955235819"	"0"	"0.0645985476533576"	"0"	"0.677216910238119"
"GSM5532571_cy5"	"0.0982182022470735"	"0.145234175070104"	"0.0267554918955519"	"0.0385754949768037"	"0"	"0.691216635810467"
"GSM5532572_cy5"	"0.100015371683964"	"0.341463773478239"	"0.0653921454947933"	"0.204332319588126"	"0"	"0.288796389754878"
"GSM5532573_cy5"	"0.126834630506801"	"0.0876207822413639"	"0.0103345978814722"	"0.0320265853053168"	"0"	"0.743183404065046"
"GSM5532574_cy5"	"0.0931181090983134"	"0.192322521909915"	"0.0145451334751709"	"0.0227655373459288"	"0"	"0.677248698170672"
"GSM5532575_cy5"	"0.0619061561048564"	"0.273266659270298"	"0.0883152014635509"	"0"	"0"	"0.576511983161294"
"GSM5532576_cy5"	"0.0288181016002326"	"0.120007202342843"	"0.0762960251644747"	"0.0101445533510416"	"0"	"0.764734117541409"
"GSM5532577_cy5"	"0.00859050560459339"	"0.23642500012097"	"0.0744381645347903"	"0.093070070814897"	"0"	"0.587476258924749"
"GSM5532578_cy5"	"0.0349992555689521"	"0.177858846683116"	"0.0383673534196145"	"0.025064384116163"	"0"	"0.723710160212154"
"GSM5532579_cy5"	"0.0155954261994405"	"0.171220874067139"	"0.0646760989790628"	"0.0250445518440497"	"0"	"0.723463048910308"
"GSM5532580_cy5"	"0.0819356929032412"	"0.114788895268568"	"0.0104524318443066"	"0.0549860137892403"	"0"	"0.737836966194644"
"GSM5532581_cy5"	"0.0529475331339612"	"0.180719545951069"	"0.00203275667727711"	"0.0813995306593939"	"0"	"0.682900633578299"
"GSM5532582_cy5"	"0.0953785612222483"	"0.226642899910224"	"0.0446619055671125"	"0"	"0"	"0.633316633300415"
"GSM5532583_cy5"	"0.0899806699010284"	"0.270801048716121"	"0.010467808556671"	"0"	"0"	"0.62875047282618"
"GSM5532584_cy5"	"0.0743988946629833"	"0.402722206484426"	"0.141331825617985"	"0.0147437249210681"	"0"	"0.366803348313537"
"GSM5532585_cy5"	"0.0701498845894794"	"0.442459430728455"	"0.0705238848702403"	"0.0414267232928841"	"0"	"0.375440076518942"
"GSM5532586_cy5"	"0.0729453052764542"	"0.258114152606115"	"0.0479867569687569"	"0.0872069995794772"	"0"	"0.533746785569197"
"GSM5532587_cy5"	"0.0612979683885165"	"0.313664063152265"	"0.0599152598792412"	"0.011909970921651"	"0"	"0.553212737658326"
