GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
ACTN2	1	1	289.0939411768	46.684786903184	232.523001846439	144.847953283175
ACTN3	1	1	163.325438567833	103.736364553459	1	113.89427507083
ACTN4	1	1	3315.65021076498	8397.41814666504	1	486.950824056181
ACTR10	2671.52704874708	3240.30306601135	1	5510.56044206965	18691.7957602082	5870.88563361637
ACTR1A	1	1	1	3531.13376101095	1	618.934594687911
ACTR1B	2362.78593882079	274.320039458061	1953.13169854686	1649.85076567116	1	1
ACTR2	1	5682.0707391912	8549.95511711728	26974.7380823486	1	26179.5848053664
ACTR3	1	21747.985999377	46739.2246583122	12471.3550673564	87101.7841234151	48230.830138183
ACTR3B	1	451.079004225428	253.518408963787	126.831909136796	885.43304908447	154.842746197984
ACTR3BP2	1	1	216.202350250904	31.3221647110034	1	140.239201886432
ACTR3C	177.250946322369	95.4039678794228	1	41.0035927311028	168.603090163751	56.9819589434107
ACTR5	518.709346427565	655.696226072914	463.320956768831	200.107898470652	1	86.6859020926354
ACTR6	1	4916.36517500364	1	1	4469.27663919738	1084.62027181635
ACTR8	582.516347486223	272.294301424014	756.376905514877	526.140022801529	1	255.790631309644
ACTRT2	1	1	67.5204399922399	1	87.4436540345192	19.7453737475763
ACTRT3	1	1	93.6048838644079	18.3666437552137	1	25.7161136739645
ACVR1	888.635283253641	2028.51669644627	1	614.989608062288	2294.74064770321	1029.5707786353
ACVR1B	1	1	1	3989.91327495383	12901.762957108	3582.61757622447
ACVR1C	538.132496838143	187.401930416991	31.6210859878045	252.652978952798	0	0
ACVR2A	1	563.334991825264	526.082785865412	195.003231430784	1	142.435985385566
ACVR2B	1	782.529743767295	183.75367160034	1	1	1
ACVR2B.AS1	101.740242304282	53.8722823194903	1	48.715090467943	1	52.2452711501453
ACVRL1	1	1	1	180.339501478287	1	26.8585400306842
ACY1	0	0	67.0504136737538	19.5932078913956	187.979852081834	12.0105771561065
ACY3	336.797098445335	42.3589229348535	142.261040764302	29.0458809806951	1	83.4733454226777
ACYP1	1273.92747609855	735.397839521123	585.658132736817	260.292709960643	1	1
ADA	2035.24364879468	3212.20754321908	2171.37122793579	1	1	1
ADAD1	152.883956610331	1	303.285962963903	81.3673909109051	285.883974329665	96.609384258747
ADAD2	1	1	1	1	1	79.4157812901704
ADAL	1	197.658392764856	231.042339395378	79.7206931352227	356.769644732445	44.3953382463593
ADAM10	1	16520.7315058356	1	1	33990.4700510271	18899.9966334575
ADAM11	1	64.8690208326985	94.6582437193676	1	1	75.2012355810451
ADAM12	1	1	350.392075037428	69.5270850444292	1	112.677444511681
ADAM15	1	1	1	1633.88014122648	1	207.83757426426
ADAM17	4054.75422264147	1	1506.24916715742	2366.86150870761	1	3865.54906038562
ADAM18	1	1	198.547087263068	1	206.066092381972	70.7027719367379
ADAM19	1	1	1	5048.12092565778	1	2882.29947818778
ADAM2	1	1	71.819165673024	25.4448728067789	1	23.7927870279643
ADAM20	154.927520482466	1	97.3109689784732	27.6204165762183	1	50.0696161799784
ADAM21	99.7246651163764	1	129.088592586727	27.2745150195184	1	90.3895680460961
ADAM22	1	161.673058481526	70.7579357253442	39.9246278959594	1	56.5664758799209
ADAM23	1	1	146.792955742445	64.8598866194747	1	95.2572704428755
ADAM28	1991.36498809649	1387.19395897209	1	1	1	1
ADAM30	1	40.1367755701171	79.579515727266	29.0822527467299	155.398370995447	52.114182220875
ADAM32	1	1	83.5462557522287	42.7571254615535	1	52.8919650303757
ADAM33	1	1157.41371712109	1	1	1	1182.38786599732
ADAM3A	81.8260694517639	0	73.9547617218758	50.4731078937956	84.2225518171292	22.9884224013986
ADAM5	1	1	132.380907586138	34.3791165339745	213.151768781062	87.8110468994419
ADAM6	1	1	188.656899013315	1	312.075391028979	83.7723563625669
ADAM7	1	1	123.404752938342	1	1	53.4592341647241
ADAM8	1	1	1	7325.51119960445	1	5374.64980708388
ADAM9	1	1	1	5307.20384096555	21510.3735382955	6985.06263084414
ADAMDEC1	1	105.65308475348	1	45.2720145360945	267.804867056612	95.8703426065062
ADAMTS1	0	134.70227519744	125.995983124304	41.4365153933062	0	0
ADAMTS10	1	414.713528262858	815.276947402452	264.328753341768	1	82.161373207589
