GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
ABHD12	3.86111577013462e-06	0.114712699336698	1.05793659074873e-07	7.95669942335655e-24	1	0.0203870088008685
ABHD13	1	0.0153513401569292	0.422121220551555	0.269762855737075	1.18989093590935e-07	6.12094098250706e-93
ABHD14B	0.00154120195638916	5.53369424658067e-11	0.00570254548922849	1.3758014266683e-11	1	1
ABHD15	0.248227782958805	1.69203229701251e-13	6.22238111052643e-08	1.37325070143213e-12	1	1
ABHD16A	1	1	1	2.1986838188354e-49	1	3.68002954190709e-17
ABHD16B	0.809791019160283	1	4.94420266400833e-06	8.49272402203096e-05	0.68026572102153	8.47352170476969e-20
ABHD17A	0.0426832350614803	0.377116239611958	6.33416796618487e-10	3.49102602871555e-43	1	1
ABHD17B	0.0959586630387411	1.62255990512015e-34	0.546964643788071	1	9.26710085533318e-07	2.12609597255903e-52
ABHD17C	0.443582527650492	1	0.986867625899089	0.000118938473096024	0.0204898006177442	2.47106176510129e-28
ABHD2	1	1	0.00141952010204079	1.23595659412705e-11	0.0188831725300957	4.42993912637379e-50
ABHD3	0.0832076937905135	5.28667957725237e-07	0.922967513763217	0.148588432843973	1	1.61048795787232e-103
ABHD4	7.16217115184958e-06	1	8.57918515832939e-05	4.00062750895352e-24	1	6.62231866244068e-66
ABHD5	1	1	1	0.00501027457214011	1	4.01998343124724e-87
ABHD6	1	5.65032539398632e-20	3.70596702589129e-08	1.75225966596247e-16	1	0.000138232677662603
ABHD8	1	1	0.301598513766029	3.84599348184367e-33	1	1
ABI1	0.337169869615951	7.07600622157549e-09	1	0.568195153150808	2.42320434579745e-08	5.05444741093384e-124
ABI2	0.179410513391521	3.28069218440669e-37	0.00285066356582183	0.154471243686149	0.644246514481956	0.0439928215920564
ABI3	1	0.000298037899022611	1.4700620786524e-12	3.41473226565544e-21	1	1
ABI3BP	9.3145534880038e-06	1	1	7.17455595364588e-35	1	1
ABL1	1.52194012368033e-05	0.000194213312335812	7.59234223374103e-09	1.74852074334498e-59	1	0.000617037299537625
ABL2	0.0379914448513886	0.86231373013602	0.190876997885887	2.01779962988345e-35	1	7.72204370676178e-47
ABLIM1	0.000112850606462094	1.86050445422868e-34	1	0.153321933990721	1	1
ABLIM2	0.00819264510543988	1	0.000547058384433311	0.0150265842381239	0.774875109733053	1.84842909855138e-26
ABLIM3	0.0016851237032397	1	0.113051940117706	0.00895749964539651	0.802928057865696	7.13172178218366e-05
ABO	0.0351768898871183	1	0.308742037621637	1.91424302648539e-05	0.193629681910952	1.33151184494118e-11
ABR	0.0512756442498064	0.00644858195705518	1.89029227991486e-08	1.20635039197812e-64	1	2.69484797600359e-36
ABRA	0.146504213659765	0.832647266249864	0.115167398092609	0.960609520909267	1	4.32723003850733e-22
ABRACL	4.44711612912588e-05	1.10473499098657e-16	0.0181370179580616	5.71348130796801e-13	2.70008531707907e-08	1.97976743805356e-25
ABT1	8.00163965903786e-08	0.0534320867399935	0.000114305016729484	1.32944554766789e-42	1	0.903198124724943
ABTB1	1	1	1	5.19104599659462e-24	1	3.25513516234966e-15
ABTB2	0.650769331803776	0.846773292726077	4.82957478298464e-08	3.60656950137436e-13	8.51034650647004e-25	1.91605085422521e-28
AC000111.3	1	1	0.004432649082326	1	0.886235032151363	1.532900220937e-07
AC002059.10	0.0794368252752631	1	0.000758006110797516	0.0158305992139466	1	3.65546902563256e-23
AC002064.5	1	0.00350531332898765	0.0857613757231761	0.631888104222285	0.735965516178618	3.75199489275267e-12
AC003973.4	0.840041212410271	0.147352449701248	0.11269171587188	0.266460396287909	0.744325568956932	4.51046053803419e-13
AC003989.4	1	1.21893450059396e-06	0.0430803430222124	1	0.326786563143441	3.54481621452755e-05
AC004692.5	0.0505642564983652	7.65738999410284e-38	0.644957795072289	3.48799974894259e-06	1	0.000530964212605352
AC004941.5	0.99849447396535	0.00240864777809138	0.363022820498464	0.000401775286221851	1	1.96456556339416e-96
AC005162.4	0.854595170758939	1	0.551057116755915	0.0298556634160154	0.118300753613959	9.73472385867109e-09
AC005224.2	0.022452293891354	1.56021013334214e-20	0.1515990914367	0.0030772033565226	1	6.64000069459769e-05
AC005256.1	0.391786877645111	1	0.0506695592083294	1	0.445898127169273	7.43936514431443e-08
AC005306.3	1	4.02465127391865e-11	0.000264989247603213	1.74771813802216e-06	1	3.98183421674706e-11
AC005498.3	0.150911299908889	0.92734490470221	0.00980088020458466	0.611276351943659	1	2.49050360371398e-14
AC005523.2	1	0.000592060418633535	0.19742462701878	0.111881471722711	0.197030394752591	3.83541818566995e-22
AC005523.3	0.780211269475852	1	0.0112447198783619	0.087735261768369	0.800664827431264	1.54536216183088e-06
AC005537.2	1	1	0.0090964301100761	0.132734164458077	1	1.28667564453345e-07
