GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
ABCB5	0.157271027609007	1	0.127319978203541	0.0473124665427118	0.143446310714048	2.91172723502393e-30
ABCB6	3.64723654851092e-13	1	0.379311563802533	1.38790823064017e-08	1	1.00163056877906e-07
ABCB7	0.00124666544953908	5.47271518783322e-45	0.0128766741069264	2.36130086249655e-16	0.720907685271517	2.42858384136577e-06
ABCB8	1.36124348351375e-08	1.77640621657815e-05	0.00360781056651954	3.20603761370855e-10	1	1.16562137607466e-30
ABCB9	0.71537689656726	0.00168513422583205	0.0192529218695857	1	1	3.29929550648143e-31
ABCC1	0.123736757413086	2.10770005829246e-25	1.27135591945958e-09	3.60362464904811e-16	1.36417556044177e-23	9.00907548057345e-12
ABCC10	0.2394363717542	2.30800912475653e-16	0.305518849118184	3.80047629007874e-11	3.10186087981746e-13	1.13997539596614e-05
ABCC11	1	1	0.0464730397818602	0.0145327758754833	0.0182156008385874	8.29960165930545e-18
ABCC12	1	0.328291266408336	0.000389651839660647	0.128232985159777	1	1.41445845467185e-05
ABCC13	0.00608823892506063	1	1	0.376019908779237	0.00772391478175204	1.04088480019217e-09
ABCC2	0.218945628024591	1	1	6.80902563734043e-08	0.279098021088721	1.95450530953081e-23
ABCC3	0.0448295175126894	0.347033757740528	0.0031112449706923	0.0598618138552431	1.15525770877872e-08	4.28399321784145e-15
ABCC4	0.00362187934612234	0.010747247683767	0.485542045572254	1	9.45416295854172e-08	6.53606826900065e-16
ABCC5	1	7.1662558480161e-09	0.139505813360984	6.45467341735145e-11	0.0270295506024043	9.58116923364024e-80
ABCC6P1	0.781269911658419	0.537912851844061	0.0803879402897595	0.00903531128121662	0.00175118756943983	7.70546141440667e-20
ABCC8	0.128047163814203	0.087510230074937	0.0385634667102424	3.00595089994411e-08	0.000258268593805053	1.59543773201367e-06
ABCC9	1	0.00109247935190881	0.251868933180825	0.00193940618251463	0.350724739914135	1.23912318014071e-18
ABCD1	1	1	0.0379423993192329	5.67201657084562e-42	1	0.4717909358903
ABCD2	0.0275117085023983	5.81144296540824e-28	0.103353054723686	0.83662355309543	0.928686581432704	0.357997172812744
ABCD3	0.0251071654885076	1.42923097341229e-19	1	0.00539412371488856	2.163380225911e-11	1.96272778512734e-35
ABCD4	0.00036738010305412	9.54961505139675e-32	0.0172763986450578	1.04667504593884e-33	0.788071865279072	0.0376467948310463
ABCE1	1.24769070289814e-07	1.1729751386314e-41	0.0589440180585593	0.0137432377642274	0.815731844777158	0.122310924005692
ABCF1	1.13218254974057e-07	6.6324513210513e-24	2.37904050229495e-08	1.14956164036904e-28	1	1
ABCF2	1.44430831933552e-16	3.47466743597933e-12	0.00049551297523306	6.86679270186414e-40	0.986478997941987	2.25264300838737e-14
ABCF3	1.98408867898283e-05	0.278215335292662	8.50757771496478e-10	1.20021103132868e-44	0.405735648281858	0.192346087299548
ABCG1	1	2.05823345547538e-18	0.442497288166797	1	1	1.19591704572114e-14
ABCG2	0.00057300166084962	1	0.0146445017719702	0.835812364077706	0.00267453666486602	1.05356075254112e-11
ABCG4	0.428669201954057	1	1.26692867038491e-07	2.13516126841179e-08	0.729365553840745	2.18077279833311e-10
ABCG5	1	1	0.197367740648258	0.0537242061109261	9.11631508449857e-15	0.00136909737133009
ABCG8	0.260285865888016	1	0.002473697856654	0.491785480590594	0.861584424892935	1.1666162528758e-07
ABHD1	0.237399505044078	0.0583097634167194	0.129064156823918	4.26213917206718e-06	0.157582420117871	8.39549555752634e-23
ABHD10	0.0439788063722949	6.24184579103439e-44	3.11189356473615e-06	3.1672479838144e-05	0.226072708898838	4.55413696558363e-13
ABHD11	0.00314641815294152	5.04933514821223e-06	6.20073255227367e-11	7.61809166381056e-38	0.000308603637610511	5.12695100523435e-41
ABHD12	3.46082923566442e-07	0.0559552178754808	4.24054010976632e-09	1.22060288544865e-24	0.812079506373523	0.0171550253691723
ABHD13	1	0.00659423533316811	0.323194173943421	0.205283865143905	5.31343585788197e-09	2.71633538868127e-94
ABHD14B	0.000263545178688942	1.51151242061993e-11	0.00194579120849269	3.60993013453211e-12	1	1
ABHD15	0.107326563465403	4.22715064735059e-14	2.26137794226936e-09	3.39079727571351e-13	1	1
ABHD16A	1	1	1	7.56416275701859e-51	1	1.32382498875346e-17
ABHD16B	0.508553727474775	1	3.99554590718752e-07	3.72338590926631e-05	0.329028084136666	2.65103253520271e-20
ABHD17A	0.0123131918461818	0.205511371214995	1.00913781959537e-11	1.9200240130225e-44	1	1
ABHD17B	0.0327015195317718	1.52328066825641e-35	0.436536132005968	1	5.26797559589709e-08	2.48887244998252e-53
ABHD17C	0.227700917911007	1	0.850925528089947	5.29469813274383e-05	0.00408565961983004	5.36204998116415e-29
