Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM909664	0	0.0273437432175004	0.00891426810306803	0.0194613214670849	0.142480420155784	0.0891895457657807	0.0265083941827146	0	0	0.0931494484668642	0	0.126995831355247	0	0.465957027285956	9999	0.826103934085952	0.582570483459775
GSM909665	0.00796319361009665	0	0.0387135494831715	0.00156527565254471	0.0188204698573279	0.21929520814475	0.0422601256270034	0	0	0.159747410973382	0	0.187458178176632	0	0.324176588475092	9999	0.692976456396103	0.729469071462973
GSM909666	0.00172877066814501	0	0.0178877490494767	0.0940748920382962	0.0508638255497841	0.112525179402767	0.0299329491533514	0	0	0.130297649759026	0	0.116694517251934	0	0.44599446712722	9999	0.850519800103384	0.558058073480497
GSM909667	0.00147776741533099	0	0.0113374948672973	0.062074946411359	0.181017808991081	0.285037680119588	0.0962455917961656	0	0	0.155259530296151	0	0.197466878513673	0	0.010082301589354	9999	0.576799872998537	0.817856633895196
GSM909668	0	0.047976021744892	0.00958713784035738	0.011983516397861	0.0650931363457957	0.197582580061813	0.0517816184200265	0	0	0.0501362909328189	0	0.0112265899485477	0	0.554633108307887	9999	0.767968284490688	0.642698315686755
GSM909669	0.00837524635315855	0.000111051779169174	0.00453075612525229	0	0.0276212522010366	0.162220763913985	0.0413523812514625	0	0	0.130070681986497	0	0.0697031279294415	0	0.556014738459997	9999	0.742127310568012	0.671631048782223
GSM909670	0	0	0.011730881015221	0.0264947089944698	0.079490242325189	0.177513004209519	0.0850379434543642	0	0	0.140547095803088	0	0.0775618921802179	0.0130164514768729	0.388607780541058	9999	0.695340162706465	0.723401359211046
GSM909671	0	0.00945683042292344	0.0137196055299099	0.0531699965387158	0.116319783512879	0.116937728161137	0.0228988543397138	0	0	0.115989898140779	0	0.110162159736782	0	0.441345143617159	9999	0.806616681982736	0.609414297781401
GSM909672	0.0165593830479828	0	0.00585462124860152	0.0018031347677521	0.0601389565746982	0.138442648583259	0.0515513893733912	0	0	0.1180333283916	0	0.131148496270934	0	0.476468041741781	9999	0.773449313226481	0.63992702427165
GSM909673	0.0056463115806861	0	0.0065672445829444	0.0125967196152745	0.0500889242399711	0.183222412027101	0.0711176288110977	0	0	0.112851422406422	0	0	0.0139897502001098	0.543919586536393	9999	0.71347461163609	0.701746728759747
GSM909674	0	0.0153183813070523	0.0118923594211073	0.0112965667938718	0.0515222864191532	0.125635126852138	0.0344396962517335	0	0	0.074728259299956	0	0.111742709077187	0	0.563424614577801	9999	0.780392060960299	0.626753327804329
GSM909675	0.0103650954221006	0	0.00653887422116261	0	0.0584649116816127	0.252559354436292	0.0555994119201539	0	0	0.122807861614072	0	0.191891505552148	0	0.301772985152458	9999	0.628847001367995	0.779099898046926
GSM909676	0.00268142500227478	0	0.00586075304665506	0.0786739066971111	0	0.168923428386671	0.0299991524885978	0	0	0.15184991390387	0	0.0679184114066534	0	0.494093009068167	9999	0.767521673071474	0.645472147003664
GSM909677	0	0.0111331235130353	0.0059763206192771	0	0.0570893394968655	0.188351696762244	0.0789946369023325	0	0	0.173782316754397	0	0.0900865039933038	0.0135336851205707	0.381052376837974	9999	0.72583570030402	0.697451855214686
GSM909678	0.013746161029937	0	0.0145720678905681	0.00248437156903713	0.0554829297655915	0.202668960688324	0.039503595390998	0	0	0.102387959620876	0	0.0591741071338785	0	0.50997984691079	9999	0.789449343472007	0.620849315346345
GSM909679	0.0180161445882773	0	0.00536600012381741	0.118241132795224	0.237985805031164	0.104782933327537	0.00827559060210177	0	0	0.0812825997393597	0	0.296231271463718	0.00639472801653952	0.123423794312261	9999	0.780817297680002	0.67486076812855
GSM909680	0.00340849853765881	0	0.00627871764100574	0.0570303536137191	0.044642505466128	0.12778008087117	0.0817656214037913	0	0	0.103312263027977	0	0.175617249893758	0	0.400164709544791	9999	0.744157574894627	0.676822952423566
GSM909681	0.0331409665662956	0	0.00536121477461984	0	0.0835244562320814	0.196194156927867	0.0397540046628805	0	0	0.112118440653712	0	0.145705194552947	0.0247643947592565	0.359437170870341	9999	0.564958203349499	0.82524352417052
GSM909682	0.0387340963197561	0.0516858955210621	0.0378886863052453	0.0356845864617469	0.119798495827095	0.00441693813242446	0.0325746528044888	0	0	0.0933895603759827	0	0.127691609304015	0	0.458135478948184	9999	0.72070801912837	0.695801492520853
GSM909683	0.081031374518014	0.0735032724052843	0.0183582967367171	0	0.0121045705438089	0.170749963549217	0.0248403062381062	0	0	0.044488255786574	0	0.104448202348973	0.0382062471481559	0.432269510725149	9999	0.66286345972881	0.749172722150433
GSM909684	0.0463732224418424	0	0.0128705022427708	0.00692009267105803	0.0767580686272143	0	0.0290977742935317	0	0	0.0775989379126148	0	0.146492754119855	0	0.603888647691113	9999	0.759805807547598	0.654545605811609
GSM909685	0.00710190957143171	0.0218327637142658	0.0170662566548379	0	0.0435786702781162	0.0127528752050518	0.0171263410726795	0	0	0.0565175194951987	0	0.317892993306388	0	0.50613067070203	9999	0.660388576626082	0.761853107928758
GSM909686	0.0688337164117021	0	0.0127306354669586	0.0162020942879047	0.0572682130473392	0.0831966514255122	0.0191206548727015	0	0	0.0417604097998706	0	0.1483788208462	0	0.552508803841811	9999	0.720053856402209	0.69645788099218
GSM909687	0.002488517016986	0.0172046043164596	0.00598815176684902	0	0.0602790279887476	0.0683792909888121	0.0279483094649462	0	0	0.081032299649281	0	0.229106891973413	0	0.507572906834505	9999	0.684279328209359	0.732520377876475
GSM909688	0.00320861014031948	0.00496555394162192	0.00248597336073189	0	0.00121047444639558	0.0631703451879781	0.0265793907678552	0	0	0.0595511215003531	0	0.192018519534075	0	0.64681001112067	9999	0.748782017533689	0.678127638972725
GSM909689	0	0.0203022787752057	0.0043686933358238	0	0.0239529795589209	0.0562373045322237	0.0265326855543382	0	0	0.044064544549707	0	0.207059625211692	0.0341537903925609	0.583328098089528	9999	0.746280195853869	0.67150193659815
GSM909690	0	0	0	0.060060254232935	0.0391363225881381	0.0198272965159263	0.0302657822306421	0	0	0.12504413662601	0	0.285633684975305	0.0197459169405751	0.420286605890468	9999	0.668806763504148	0.743944736260147
GSM909691	0	0.00516687081608434	0.00691054306533958	0.017535661864328	0.0482193122272443	0.0489341714642178	0.0780977818598555	0	0	0.162068331016158	0	0.0494202822232095	0	0.583647045463563	9999	0.655514214856231	0.765661174388084
GSM909692	0	0.032297841390466	0.0132884106733272	0	0.0379650055385547	0	0.0341663767702548	0	0	0.107562028088539	0	0.051392751048983	0.0186741421606495	0.704653444329226	9999	0.677354974466204	0.77043288295076
GSM909693	0.0076973161472942	0.0153135598584179	0.00418856862512312	0	0.0548888383067797	0	0.0206102128294482	0	0	0.0343785577632392	0	0.329167321740381	0	0.533755624729317	9999	0.805921559698872	0.592927085869042
GSM909694	0.0190803778591328	0.0183050980592153	0.0236651117341364	0.0665804944968267	0.0271694649336988	0.00218809048305789	0.0307695795003202	0	0	0.0657013246410156	0	0.275362083715854	0.0287778574541853	0.442400517122557	9999	0.757947230563592	0.654509517334448
GSM909695	0.00561830142478395	0	0.00370260496229925	0	0.0765806259935922	0.0378352643942064	0.030662038334552	0	0	0.0131090411318131	0.00470657254195379	0.316407622597678	0	0.511377928619122	9999	0.753482056807369	0.65887709173993
GSM909696	0	0	0	0	0.0429807366219147	0	0.0297896994274741	0	0	0.0835525732516496	0	0.120595306929138	0	0.723081683769824	9999	0.753416526493533	0.686714824581124
GSM909697	0	0	0.00503199286012287	0.0540469991394734	0.00941631636767182	0.0733141537507442	0.0432009427944345	0	0	0.0513543291768675	0	0.193311241708172	0.0872086733503733	0.483115350852141	9999	0.723933815959727	0.69023111058586
GSM909698	0	0.0180873263718748	0.0189597557121762	0.00542595661414313	0.0304093589631523	0.0111518033723515	0.0434820330623523	0	0	0.0526501793682108	0	0.204558351433029	0.0685185469309921	0.546756688171718	9999	0.76320633348474	0.647651884866853
